date	time	label	pred	id	text
20121010	00:00:00		0	255819933596930048	lmao wait, did you think it was something other than what it really is??? 
20121010	00:00:00		1	255819937485058048	invite this kids to church on wednesdays!
20121010	00:00:00		2	255819937493430272	just posted a photo 
20121010	00:00:00		3	255819937526996992	i need to get as high as possible, as often as possible, this week cuz next week i have to go to practice everyday till march :(
20121010	00:00:00		4	255819937602473984	i know what i m setting up for.
20121010	00:00:00		5	255819937636036609	if you work in an engine room, protect and communicate with sensear: 
20121010	00:00:00		6	255819937657016320	i need this class tonight.
20121010	00:00:00		7	255819937661194240	a recording has stopped: wheel of fortune: home sweet home sage alert
20121010	00:00:00		8	255819937661194242	if you re not gonna suck my dick don t stand so close to me
20121010	00:00:00		9	255819937665396736	wale gets the hoes man
20121010	00:00:00		10	255819937665396737	i m gonna be so bored when field hockey s over
20121010	00:00:00		11	255819937665409024	rt  kiss her right in the middle of a sentence. girls love that.
20121010	00:00:00		12	255819937686372352	nothing last forever... so live it up, drink it down and laugh it off !
20121010	00:00:00		13	255819937698951168	ff# erss  medical bills got you down? we can help! call us 2day @ ask of kim! visit our site 
20121010	00:00:00		3	255819937724125184	i just need a boyfriend that loves beer as much as i do.
20121010	00:00:00		14	255819937732505600	it s 7th inning stretch time and we re all square at 1s. they re fired up in cincy and we are too! nlds reds giants 
20121010	00:00:00		15	255819937749282816	wind 0.5 mph ssw. barometer 29.89 in, falling slowly. temperature 61.3 degf. rain today 0.00 in. humidity 54%
20121010	00:00:00		16	255819937753481216	have you ever had to work with someone who s personality clashed with yours? how did you handle it?
20121010	00:00:00		11	255819937761853441	rt  lol yea right... singletothemax
20121010	00:00:00		17	255819937761878016	make money with your digital camera - home-based photography business! 
20121010	00:00:00		18	255819937782841345	my mom always showing her ass somewhere !
20121010	00:00:00		19	255819937791229952	hugo pinheiro in one of dubai s famous wave pools.  see the video here:  
20121010	00:00:00		20	255819937799626754	use my ref code: iag66597 &amp; tweet for cards! oct 09 11:59:51 pm rageofbahamut 
20121010	00:00:00		21	255819937803800576	wen i have nobody to talk to i mess with my aunt
20121010	00:00:00		8	255819937841561600	the cranes dance gets tested! (by me, and i was lenient.) 
20121010	00:00:00		22	255819937845743616	you pull burners we pull burners make the motherfucking beef cook.
20121010	00:00:00		23	255819937858330624	the devils here, but i m still awake, then i broke the mirror, cuz i seen his face.
20121010	00:00:00		24	255819937870913537	poor vocabulary is enough to make a gorgeous girl ugly.
20121010	00:00:00		25	255819937870921730	congrats tw on an ama nomination loveyou congrats tw fanmi iy
20121010	00:00:00		26	255819937879298049	"the sweetest and most ear disturbing phrase all rolled into one is... "" see that, mommy? see that?"" 4000 times in a course of 45 mins"
20121010	00:00:00		27	255819937879306240	rick ross x diced pineapples
20121010	00:00:00		3	255819937891885056	""" k as in knife."" lawlzzz rt"
20121010	00:00:00		28	255819937891901440	picstitch i hate when my baby sick but he s being such a big boy taking his treatments  
